SiO2,Al2O3,CaO,MgO,SrO,B2O3,Sb2O3,YoungModulus,Density293K,CTEbelowTg,Tstrain,Tsoft
1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.11999969482422,2.2043758322671154,4.759186387871155e-07,1324.5052652776355,1852.2699999999968
0.667,0.1705999999999999,0.0843,0.0781,0.0,0.0,0.0,86.0,2.5220000743865967,3.5182611890732302e-06,1045.9739999999986,1265.4999999999977
0.45,0.1,0.3,0.15,0.0,0.0,0.0,96.55999908447264,2.867128298282623,6.1e-06,986.7599999999989,1109.3499999999983
0.45,0.05,0.25,0.25,0.0,0.0,0.0,102.61999969482422,2.863669339643584,6.6e-06,986.1299999999987,1043.5599999999984
0.5,0.1,0.2,0.2,0.0,0.0,0.0,99.9,2.8213072129090624,5.4e-06,985.6499999999988,1156.139999999998
0.625,0.375,0.0,0.0,0.0,0.0,0.0,109.43999938964843,2.5899999141693115,2.856527948379516e-06,1071.2879999999984,1210.7441666666646
0.3,0.0,0.25,0.25,0.0,0.2,0.0,107.4,2.8170191778474383,7.79000015258789e-06,857.9799999999994,1039.8999999999985
0.3,0.0,0.15,0.35,0.0,0.2,0.0,109.6,2.753554990291596,7.83000030517578e-06,817.1399999999995,1074.5999999999983
0.15,0.0,0.3,0.35,0.0,0.2,0.0,104.28000030517578,2.870970058441162,9.55e-06,835.7599999999995,1055.5599999999984
0.4,0.0,0.1,0.0,0.3,0.2,0.0,83.57999877929687,3.468036360740661,8.04000015258789e-06,839.0499999999994,1096.2599999999982
0.31,0.0,0.4479999999999999,0.173,0.0,0.069,0.0,94.36000061035156,2.926199983954429,1.033000030517578e-05,893.7099999999991,1074.2899999999981
0.3,0.0,0.0,0.2,0.3,0.2,0.0,85.17999877929688,3.34587265809377,9.08000030517578e-06,811.9999999999997,1062.8829999999984
0.4,0.0,0.0,0.1,0.3,0.2,0.0,85.55999755859375,3.4665363319714864,8.04000015258789e-06,836.7899999999994,1097.5229999999983
1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.11999969482422,2.2043758322671154,4.759186387871155e-07,1324.5052652776355,1852.2699999999968
0.54,0.0,0.46,0.0,0.0,0.0,0.0,90.87999877929688,2.854025127720265,9.366814954775862e-06,922.1799999999988,1156.679999999998
0.95,0.05,0.0,0.0,0.0,0.0,0.0,66.13999938964844,2.1410000324249268,8.1805671248485e-07,1201.5328037811848,1764.4699999999968
0.95,0.0,0.0,0.0,0.0,0.05,0.0,66.13999938964844,2.1710000038146973,1.1634369406073892e-06,1222.102215895644,1826.169999999997
0.92,0.03,0.0,0.0,0.0,0.05,0.0,66.13999938964844,2.194999933242798,1.1100126159100305e-06,1176.3988201700245,1743.0799999999967
0.88,0.07,0.0,0.0,0.0,0.05,0.0,63.14000015258789,2.246999979019165,1.554534264015016e-06,1023.1099999999984,1743.0799999999967
0.86,0.09,0.0,0.0,0.0,0.05,0.0,65.94000015258788,2.1710000038146973,1.3420538004012325e-06,1025.9699999999984,1613.6299999999972
0.556,0.222,0.0,0.222,0.0,0.0,0.0,101.0,2.625,3.55e-06,1042.21657142857,1138.2299999999982
0.579,0.186,0.0,0.235,0.0,0.0,0.0,99.8,2.615999937057495,3.5956080975850422e-06,1040.95657142857,1141.2699999999982
0.595,0.211,0.0,0.1939999999999999,0.0,0.0,0.0,98.86000061035156,2.6679999828338623,3.177060075650894e-06,1044.04657142857,1169.0374999999979
0.5379999999999999,0.127,0.0,0.335,0.0,0.0,0.0,102.8,2.4560000896453857,4.546353524208068e-06,1015.1199999999984,1151.119999999998
0.724,0.1219999999999999,0.0,0.1539999999999999,0.0,0.0,0.0,92.81999969482422,2.618000030517578,2.844224992275236e-06,1046.2539047619032,1267.9749999999976
0.5765,0.0899,0.1792,0.0626999999999999,0.0,0.0917,0.0,85.61999969482422,2.5572507826487225,5.155514998181661e-06,926.409999999999,1144.7199999999982
0.4047404740474047,0.1192119211921192,0.3252325232523252,0.1508150815081508,0.0,0.0,0.0,96.89999847412108,2.8458519525527954,7.282246765136724e-06,1007.5333333333318,1101.4799999999982
0.3963,0.1168,0.2653999999999999,0.2214999999999999,0.0,0.0,0.0,100.31999969482422,2.864542865071978,6.308411694780988e-06,1006.5599999999988,1079.7899999999981
0.424,0.1562,0.3408,0.079,0.0,0.0,0.0,97.78000030517578,2.8324559725522995,6.914152841440834e-06,1053.0143333333317,1143.179999999998
