SiO2,Al2O3,CaO,MgO,SrO,B2O3,Sb2O3,YoungModulus,Density293K,CTEbelowTg,Tstrain,Tsoft
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.204337035090928,,,
0.667,0.1705999999999999,0.0843,0.0781,0.0,0.0,0.0,,2.5220000743865967,,,
0.45,0.1,0.3,0.15,0.0,0.0,0.0,,2.8705220437049865,6.1e-06,,
0.45,0.05,0.25,0.25,0.0,0.0,0.0,,2.861702101403759,6.6e-06,,
0.5,0.1,0.2,0.2,0.0,0.0,0.0,,2.81721426709493,5.4e-06,,
0.625,0.375,0.0,0.0,0.0,0.0,0.0,,2.5899999141693115,,,
0.3,0.0,0.25,0.25,0.0,0.2,0.0,,2.817955777347088,7.79000015258789e-06,,
0.3,0.0,0.15,0.35,0.0,0.2,0.0,,2.7652599954605104,7.83000030517578e-06,,
0.15,0.0,0.3,0.35,0.0,0.2,0.0,,2.8675900435447694,9.55e-06,,
0.4,0.0,0.1,0.0,0.3,0.2,0.0,,3.4532247774600986,8.04000015258789e-06,,
0.31,0.0,0.4479999999999999,0.173,0.0,0.069,0.0,,2.917505206074033,1.033000030517578e-05,,
0.3,0.0,0.0,0.2,0.3,0.2,0.0,,3.362924717664719,9.08000030517578e-06,,
0.4,0.0,0.0,0.1,0.3,0.2,0.0,,3.4530399870872497,8.04000015258789e-06,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.204337035090928,,,
0.54,0.0,0.46,0.0,0.0,0.0,0.0,,2.852039784629193,,,
0.95,0.05,0.0,0.0,0.0,0.0,0.0,,2.1410000324249268,,,
0.95,0.0,0.0,0.0,0.0,0.05,0.0,,2.1710000038146973,,,
0.92,0.03,0.0,0.0,0.0,0.05,0.0,,2.194999933242798,,,
0.88,0.07,0.0,0.0,0.0,0.05,0.0,,2.246999979019165,,,
0.86,0.09,0.0,0.0,0.0,0.05,0.0,,2.1710000038146973,,,
0.556,0.222,0.0,0.222,0.0,0.0,0.0,101.0,2.625,3.55e-06,,
0.579,0.186,0.0,0.235,0.0,0.0,0.0,,2.615999937057495,,,
0.595,0.211,0.0,0.1939999999999999,0.0,0.0,0.0,,2.6679999828338623,,,
0.5379999999999999,0.127,0.0,0.335,0.0,0.0,0.0,,2.4560000896453857,,,
0.724,0.1219999999999999,0.0,0.1539999999999999,0.0,0.0,0.0,,2.618000030517578,,,
0.5765,0.0899,0.1792,0.0626999999999999,0.0,0.0917,0.0,,2.542682492931684,,,
0.4047404740474047,0.1192119211921192,0.3252325232523252,0.1508150815081508,0.0,0.0,0.0,,2.853289957841237,,,
0.3963,0.1168,0.2653999999999999,0.2214999999999999,0.0,0.0,0.0,,2.86946801884969,,,
0.424,0.1562,0.3408,0.079,0.0,0.0,0.0,,2.831446111798286,,,
0.4147999999999999,0.1528,0.2778,0.1546,0.0,0.0,0.0,,2.8567376787502536,,,
0.4453,0.1968,0.3579,0.0,0.0,0.0,0.0,,2.775696069785527,,,
0.4352,0.1923,0.2914,0.0810999999999999,0.0,0.0,0.0,,2.767243379153902,,,
0.4255,0.188,0.2279,0.1586,0.0,0.0,0.0,,2.8477659557557207,,,
0.4121,0.0911,0.4968,0.0,0.0,0.0,0.0,,2.883303364208766,,,
0.4034000000000001,0.0891,0.4323,0.0752,0.0,0.0,0.0,,2.883846663157144,,,
0.3951,0.0873,0.3704,0.1472,0.0,0.0,0.0,,2.9003566380341845,,,
0.4226422642264226,0.1245124512451245,0.4528452845284529,0.0,0.0,0.0,0.0,,2.86687092485882,,,
0.4135413541354136,0.1218121812181218,0.3876387638763876,0.077007700770077,0.0,0.0,0.0,,2.8747966584761935,,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.203000068664551,,,
0.5,0.0,0.5,0.0,0.0,0.0,0.0,,2.9040000438690186,,,
0.5,0.25,0.25,0.0,0.0,0.0,0.0,,2.700000047683716,,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.20199990272522,1.202000045776367e-06,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.2049999237060547,,,
0.3696,0.1556,0.3961,0.0787,0.0,0.0,0.0,,2.8920266645352046,,,
0.3616361636163616,0.1522152215221522,0.3321332133213321,0.154015401540154,0.0,0.0,0.0,,2.8958999701340993,,,
0.3792999999999999,0.1916,0.3483,0.0808,0.0,0.0,0.0,,2.863567875610458,,,
0.3709,0.1873,0.2838,0.158,0.0,0.0,0.0,,2.8801420639753337,,,
0.4446,0.0582,0.4235,0.0737,0.0,0.0,0.0,,2.8701466583410893,,,
0.426957304269573,0.0558944105589441,0.304969503049695,0.2121787821217878,0.0,0.0,0.0,,2.930880019664764,,,
0.446,0.0876,0.3186,0.1478,0.0,0.0,0.0,,2.8448866772651673,,,
0.4569,0.1197,0.272,0.1514,0.0,0.0,0.0,,2.8140503800539745,,,
0.4474,0.1172,0.2130999999999999,0.2223,0.0,0.0,0.0,,2.816849956512451,,,
0.4684,0.1533,0.2231,0.1552,0.0,0.0,0.0,,2.795990572486174,,,
0.4584,0.1501,0.1637,0.2278,0.0,0.0,0.0,,2.8089170930208542,,,
0.4488,0.1469,0.1069,0.2974,0.0,0.0,0.0,,2.7758599948883056,,,
0.4396439643964396,0.1439143914391439,0.0523052305230523,0.3641364136413641,0.0,0.0,0.0,,2.7306500029563905,,,
0.4915,0.1931,0.234,0.0814,0.0,0.0,0.0,,2.699706516265869,,,
0.4746,0.0279999999999999,0.3559,0.1415,0.0,0.0,0.0,,2.869338583946228,,,
0.4653465346534653,0.0274027402740274,0.2991299129912991,0.208120812081208,0.0,0.0,0.0,,2.8595900201797484,,,
0.4564,0.0269,0.2445,0.2722,0.0,0.0,0.0,,2.862682481408119,,,
0.4857485748574858,0.0572057205720572,0.3122312231223122,0.1448144814481448,0.0,0.0,0.0,,2.8057203976339076,,,
0.476,0.0561,0.255,0.2128999999999999,0.0,0.0,0.0,,2.8142528752485907,,,
0.4667,0.055,0.2,0.2783,0.0,0.0,0.0,,2.83231157541275,,,
0.4973497349734973,0.0879087908790879,0.2664266426642664,0.1483148314831483,0.0,0.0,0.0,,2.7700269941091533,,,
0.4774,0.0843999999999999,0.1535,0.2847,0.0,0.0,0.0,,2.82232065141201,,,
0.5096,0.1201,0.2184,0.1519,0.0,0.0,0.0,,2.73693168759346,,,
0.4989,0.1176,0.1604,0.2231,0.0,0.0,0.0,,2.771905568897724,,,
0.4886999999999999,0.1152,0.1047,0.2914,0.0,0.0,0.0,,2.734646590948105,,,
0.4789,0.1128999999999999,0.0513,0.3569,0.0,0.0,0.0,,2.7212799787521362,,,
0.5341,0.1574,0.2289,0.0796,0.0,0.0,0.0,,2.695260031223297,,,
0.5112511251125113,0.1506150615061506,0.1095109510951095,0.2286228622862286,0.0,0.0,0.0,,2.710945576296912,,,
0.5549445055494451,0.2224777522247775,0.0,0.2225777422257774,0.0,0.0,0.0,,2.625160002708435,,,
0.6478,0.106,0.0944999999999999,0.1517,0.0,0.0,0.0,,2.5566599678993227,,,
0.4871,0.015,0.3577,0.1402,0.0,0.0,0.0,,2.8652485990524292,,,
0.5945,0.0379,0.2239,0.1437,0.0,0.0,0.0,,2.6689751744270325,,,
0.5838,0.0791,0.1889999999999999,0.1481,0.0,0.0,0.0,,2.6138280989442553,,,
0.4927,0.0302999999999999,0.3350999999999999,0.1419,0.0,0.0,0.0,,2.7911542429526652,,,
0.4989,0.046,0.3114,0.1437,0.0,0.0,0.0,,2.7897953676382703,,,
0.4784,0.0513,0.3262,0.1441,0.0,0.0,0.0,,2.811035796261969,,,
0.622,0.1189,0.1061999999999999,0.1528999999999999,0.0,0.0,0.0,,2.5812700071334835,,,
0.5737,0.1054,0.17,0.1509,0.0,0.0,0.0,,2.6329466664791106,,,
0.5909409059094091,0.1454854514548545,0.1080891910808919,0.1554844515548445,0.0,0.0,0.0,,2.625737605167759,,,
0.5721,0.1522,0.1197,0.156,0.0,0.0,0.0,,2.625955022970835,,,
0.4904,0.1651999999999999,0.1877,0.1567,0.0,0.0,0.0,,2.7313717764152416,,,
0.498,0.1866,0.1563,0.1591,0.0,0.0,0.0,,2.744172019276479,,,
0.4525,0.1067,0.2909,0.1499,0.0,0.0,0.0,,2.8337725216150282,,,
0.4625999999999999,0.1363,0.2478,0.1533,0.0,0.0,0.0,,2.810533229175068,,,
0.4686,0.0250999999999999,0.3652,0.1411,0.0,0.0,0.0,,2.8682266958554585,,,
0.4246999999999999,0.025,0.4096,0.1407,0.0,0.0,0.0,,2.889643328984578,,,
0.4336,0.0511,0.3717,0.1436,0.0,0.0,0.0,,2.8734966739018755,,,
0.4429,0.0783,0.3321,0.1467,0.0,0.0,0.0,,2.8444366776943206,,,
0.4357999999999999,0.0981,0.3173,0.1488,0.0,0.0,0.0,,2.8546260523796083,,,
0.385038503850385,0.0378037803780378,0.4354435443544354,0.1417141714171417,0.0,0.0,0.0,,2.9013933356602983,,,
0.3973397339733973,0.078007800780078,0.3784378437843784,0.1462146214621462,0.0,0.0,0.0,,2.9007266469796495,,,
0.406,0.1063,0.3383,0.1494,0.0,0.0,0.0,,2.868769977092743,,,
0.3777,0.0628,0.4150999999999999,0.1444,0.0,0.0,0.0,,2.902293327649434,,,
0.3653634636536346,0.0717928207179282,0.4175582441755824,0.1452854714528547,0.0,0.0,0.0,,2.903999997377395,,,
0.3520647935206479,0.0777922207779222,0.4243575642435756,0.1457854214578542,0.0,0.0,0.0,,2.911026662389437,,,
0.3596999999999999,0.106,0.3853999999999999,0.1489,0.0,0.0,0.0,,2.910513314207395,,,
0.3367,0.1058,0.4088,0.1487,0.0,0.0,0.0,,2.918066658775012,,,
0.270972902709729,0.1197880211978802,0.4596540345965403,0.1495850414958504,0.0,0.0,0.0,,2.919983340104421,,,
0.5367536753675368,0.2017201720172017,0.1004100410041004,0.1611161116111611,0.0,0.0,0.0,,2.6627400159835815,,,
0.5196999999999999,0.2164,0.1013,0.1626,0.0,0.0,0.0,,2.6813410453427404,,,
0.5281,0.2394,0.0673,0.1651999999999999,0.0,0.0,0.0,,2.6617113580703733,,,
0.4213,0.1172,0.3107,0.1508,0.0,0.0,0.0,,2.8724010229110717,,,
0.4104,0.1209,0.3176,0.1510999999999999,0.0,0.0,0.0,,2.848939960002899,,,
0.415,0.1359,0.2964,0.1527,0.0,0.0,0.0,,2.8669858062267304,,,
0.3677,0.1354,0.3447,0.1522,0.0,0.0,0.0,,2.9005699630578357,,,
0.376,0.1662,0.3021,0.1557,0.0,0.0,0.0,,2.883097967823346,,,
0.3206320632063206,0.135013501350135,0.3926392639263926,0.1517151715171517,0.0,0.0,0.0,,2.9241733226378757,,,
0.3279,0.1656,0.3513,0.1552,0.0,0.0,0.0,,2.9118799775838853,,,
0.3354664533546645,0.1976802319768023,0.3080691930806919,0.1587841215878412,0.0,0.0,0.0,,2.8613207719590927,,,
0.2800719928007199,0.1650834916508349,0.4001599840015998,0.1546845315468453,0.0,0.0,0.0,,2.934724997282028,,,
0.240975902409759,0.141985801419858,0.4652534746525348,0.1517848215178482,0.0,0.0,0.0,,2.911246670881907,,,
0.2326232623262326,0.1645164516451645,0.4487448744874487,0.1541154115411541,0.0,0.0,0.0,,2.912056671778361,,,
0.1876,0.1796,0.4774,0.1553999999999999,0.0,0.0,0.0,,2.911550009250641,,,
0.4764,0.2688,0.0868999999999999,0.1679,0.0,0.0,0.0,,2.7078357156793924,,,
0.3810618938106189,0.024997500249975,0.4536546345365463,0.1402859714028597,0.0,0.0,0.0,,2.9200233503182726,,,
0.3447,0.0508,0.4617,0.1427999999999999,0.0,0.0,0.0,,2.919629999399185,,,
0.3071,0.0776,0.47,0.1452999999999999,0.0,0.0,0.0,,2.926493337949117,,,
0.3104,0.0914,0.4513,0.1469,0.0,0.0,0.0,,2.9229900148709613,,,
0.3377,0.0249,0.4975,0.1399,0.0,0.0,0.0,,2.925652904286529,,,
0.3227,0.0507,0.4841,0.1425,0.0,0.0,0.0,,2.91131999373436,,,
0.2846999999999999,0.0774,0.4927999999999999,0.1450999999999999,0.0,0.0,0.0,,2.9193353360493974,,,
0.268,0.1053,0.4787,0.148,0.0,0.0,0.0,,2.9173233397801717,,,
0.2275,0.1341,0.4876,0.1508,0.0,0.0,0.0,,2.910680012702942,,,
0.2176,0.1554,0.474,0.153,0.0,0.0,0.0,,2.9076000022888184,,,
0.6606000000000001,0.1324,0.0523,0.1547,0.0,0.0,0.0,,2.5429274743795394,,,
0.6435,0.119,0.0843999999999999,0.1531,0.0,0.0,0.0,,2.554229967594147,,,
0.6455000000000001,0.146,0.0524,0.1561,0.0,0.0,0.0,,2.5468684836626054,,,
0.6127612761276128,0.1457145714571457,0.0858085808580858,0.1557155715571557,0.0,0.0,0.0,,2.5730993436177574,,,
0.6221,0.1667,0.0530999999999999,0.1581,0.0,0.0,0.0,,2.5779560033480324,,,
0.6286,0.181,0.0306999999999999,0.1597,0.0,0.0,0.0,,2.5556259908676147,,,
0.5675,0.1948,0.077,0.1607,0.0,0.0,0.0,,2.62919002532959,,,
0.519,0.2791,0.0325,0.1694,0.0,0.0,0.0,,2.6636333680152893,,,
0.5009500950095009,0.2952295229522952,0.0328032803280328,0.171017101710171,0.0,0.0,0.0,,2.670870044231415,,,
0.2067,0.1489,0.4921999999999999,0.1522,0.0,0.0,0.0,,2.91566002368927,,,
0.5617,0.1802,0.0991,0.159,0.0,0.0,0.0,,2.6336300110816957,,,
0.494,0.0926,0.2646,0.1488,0.0,0.0,0.0,,2.7648475806713098,,,
0.5337999999999999,0.2552,0.044,0.1669999999999999,0.0,0.0,0.0,,2.656733367443085,,,
