SiO2,Al2O3,CaO,MgO,SrO,B2O3,Sb2O3,YoungModulus,Density293K,CTEbelowTg,Tstrain,Tsoft
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1838.7899999999968
0.667,0.1705999999999999,0.0843,0.0781,0.0,0.0,0.0,,2.5220000743865967,,,1268.0899999999976
0.45,0.1,0.3,0.15,0.0,0.0,0.0,,,6.1e-06,,1123.0499999999981
0.45,0.05,0.25,0.25,0.0,0.0,0.0,,,6.6e-06,,1067.5599999999984
0.5,0.1,0.2,0.2,0.0,0.0,0.0,,,5.4e-06,,1156.459999999998
0.625,0.375,0.0,0.0,0.0,0.0,0.0,,2.5899999141693115,,,1219.4283333333312
0.3,0.0,0.25,0.25,0.0,0.2,0.0,,,7.79000015258789e-06,,1027.1599999999985
0.3,0.0,0.15,0.35,0.0,0.2,0.0,,,7.83000030517578e-06,,1046.6599999999985
0.15,0.0,0.3,0.35,0.0,0.2,0.0,,,9.55e-06,,1024.9333333333318
0.4,0.0,0.1,0.0,0.3,0.2,0.0,,,8.04000015258789e-06,,1071.0799999999983
0.31,0.0,0.4479999999999999,0.173,0.0,0.069,0.0,,,1.033000030517578e-05,,1062.6199999999983
0.3,0.0,0.0,0.2,0.3,0.2,0.0,,,9.08000030517578e-06,,1066.5949999999984
0.4,0.0,0.0,0.1,0.3,0.2,0.0,,,8.04000015258789e-06,,1100.5749999999982
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1838.7899999999968
0.54,0.0,0.46,0.0,0.0,0.0,0.0,,,,,1157.099999999998
0.95,0.05,0.0,0.0,0.0,0.0,0.0,,2.1410000324249268,,,1780.8399999999967
0.95,0.0,0.0,0.0,0.0,0.05,0.0,,2.1710000038146973,,,1829.7899999999968
0.92,0.03,0.0,0.0,0.0,0.05,0.0,,2.194999933242798,,,1765.1899999999969
0.88,0.07,0.0,0.0,0.0,0.05,0.0,,2.246999979019165,,,1765.7399999999968
0.86,0.09,0.0,0.0,0.0,0.05,0.0,,2.1710000038146973,,,1604.9099999999971
0.556,0.222,0.0,0.222,0.0,0.0,0.0,101.0,2.625,3.55e-06,,1153.829999999998
0.579,0.186,0.0,0.235,0.0,0.0,0.0,,2.615999937057495,,,1158.3399999999979
0.595,0.211,0.0,0.1939999999999999,0.0,0.0,0.0,,2.6679999828338623,,,1193.419999999998
0.5379999999999999,0.127,0.0,0.335,0.0,0.0,0.0,,2.4560000896453857,,,1154.089999999998
0.724,0.1219999999999999,0.0,0.1539999999999999,0.0,0.0,0.0,,2.618000030517578,,,1263.1699999999976
0.5765,0.0899,0.1792,0.0626999999999999,0.0,0.0917,0.0,,,,,1137.639999999998
0.4047404740474047,0.1192119211921192,0.3252325232523252,0.1508150815081508,0.0,0.0,0.0,,,,,1095.2699999999982
0.3963,0.1168,0.2653999999999999,0.2214999999999999,0.0,0.0,0.0,,,,,1084.6699999999983
