SiO2,Al2O3,CaO,MgO,SrO,B2O3,Sb2O3,YoungModulus,Density293K,CTEbelowTg,Tstrain,Tsoft
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1325.1391836064258,
0.667,0.1705999999999999,0.0843,0.0781,0.0,0.0,0.0,,2.5220000743865967,,1055.5189999999989,
0.45,0.1,0.3,0.15,0.0,0.0,0.0,,,6.1e-06,987.9199999999987,
0.45,0.05,0.25,0.25,0.0,0.0,0.0,,,6.6e-06,982.8499999999987,
0.5,0.1,0.2,0.2,0.0,0.0,0.0,,,5.4e-06,988.2099999999987,
0.625,0.375,0.0,0.0,0.0,0.0,0.0,,2.5899999141693115,,1072.237333333332,
0.3,0.0,0.25,0.25,0.0,0.2,0.0,,,7.79000015258789e-06,860.4699999999995,
0.3,0.0,0.15,0.35,0.0,0.2,0.0,,,7.83000030517578e-06,838.9999999999995,
0.15,0.0,0.3,0.35,0.0,0.2,0.0,,,9.55e-06,827.0899999999996,
0.4,0.0,0.1,0.0,0.3,0.2,0.0,,,8.04000015258789e-06,864.3599999999994,
0.31,0.0,0.4479999999999999,0.173,0.0,0.069,0.0,,,1.033000030517578e-05,899.9499999999992,
0.3,0.0,0.0,0.2,0.3,0.2,0.0,,,9.08000030517578e-06,835.1399999999995,
0.4,0.0,0.0,0.1,0.3,0.2,0.0,,,8.04000015258789e-06,862.7399999999994,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1325.1391836064258,
0.54,0.0,0.46,0.0,0.0,0.0,0.0,,,,938.3989285714276,
0.95,0.05,0.0,0.0,0.0,0.0,0.0,,2.1410000324249268,,1184.9718185703173,
0.95,0.0,0.0,0.0,0.0,0.05,0.0,,2.1710000038146973,,1210.6721868670531,
0.92,0.03,0.0,0.0,0.0,0.05,0.0,,2.194999933242798,,1159.985363858362,
0.88,0.07,0.0,0.0,0.0,0.05,0.0,,2.246999979019165,,1016.593333333332,
0.86,0.09,0.0,0.0,0.0,0.05,0.0,,2.1710000038146973,,1019.583333333332,
0.556,0.222,0.0,0.222,0.0,0.0,0.0,101.0,2.625,3.55e-06,1038.5249999999985,
0.579,0.186,0.0,0.235,0.0,0.0,0.0,,2.615999937057495,,1035.628333333332,
0.595,0.211,0.0,0.1939999999999999,0.0,0.0,0.0,,2.6679999828338623,,1041.5149999999985,
0.5379999999999999,0.127,0.0,0.335,0.0,0.0,0.0,,2.4560000896453857,,1011.8699999999985,
0.724,0.1219999999999999,0.0,0.1539999999999999,0.0,0.0,0.0,,2.618000030517578,,1047.8949999999984,
0.5765,0.0899,0.1792,0.0626999999999999,0.0,0.0917,0.0,,,,927.589999999999,
0.4047404740474047,0.1192119211921192,0.3252325232523252,0.1508150815081508,0.0,0.0,0.0,,,,1007.5399999999987,
0.3963,0.1168,0.2653999999999999,0.2214999999999999,0.0,0.0,0.0,,,,1008.4099999999985,
0.424,0.1562,0.3408,0.079,0.0,0.0,0.0,,,,1059.0699999999988,
0.4147999999999999,0.1528,0.2778,0.1546,0.0,0.0,0.0,,,,1030.0356666666653,
0.4453,0.1968,0.3579,0.0,0.0,0.0,0.0,,,,1059.7183333333319,
0.4352,0.1923,0.2914,0.0810999999999999,0.0,0.0,0.0,,,,1033.1376666666652,
0.4255,0.188,0.2279,0.1586,0.0,0.0,0.0,,,,1036.5906666666651,
0.4121,0.0911,0.4968,0.0,0.0,0.0,0.0,,,,995.8699999999986,
0.4034000000000001,0.0891,0.4323,0.0752,0.0,0.0,0.0,,,,984.0999999999987,
0.3951,0.0873,0.3704,0.1472,0.0,0.0,0.0,,,,983.9399999999987,
0.4226422642264226,0.1245124512451245,0.4528452845284529,0.0,0.0,0.0,0.0,,,,1009.9799999999985,
0.4135413541354136,0.1218121812181218,0.3876387638763876,0.077007700770077,0.0,0.0,0.0,,,,1008.7099999999986,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.203000068664551,,1325.1391836064258,
0.5,0.0,0.5,0.0,0.0,0.0,0.0,,2.9040000438690186,,938.0389285714277,
0.5,0.25,0.25,0.0,0.0,0.0,0.0,,2.700000047683716,,1064.4633333333318,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.20199990272522,1.202000045776367e-06,1325.1391836064258,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.2049999237060547,,1325.1391836064258,
0.3696,0.1556,0.3961,0.0787,0.0,0.0,0.0,,,,1059.3939999999986,
0.3616361636163616,0.1522152215221522,0.3321332133213321,0.154015401540154,0.0,0.0,0.0,,,,1030.2156666666651,
0.3792999999999999,0.1916,0.3483,0.0808,0.0,0.0,0.0,,,,1034.717666666665,
0.3709,0.1873,0.2838,0.158,0.0,0.0,0.0,,,,1038.6339999999987,
0.4446,0.0582,0.4235,0.0737,0.0,0.0,0.0,,,,980.5299999999987,
0.426957304269573,0.0558944105589441,0.304969503049695,0.2121787821217878,0.0,0.0,0.0,,,,983.2099999999987,
0.446,0.0876,0.3186,0.1478,0.0,0.0,0.0,,,,983.5899999999987,
0.4569,0.1197,0.272,0.1514,0.0,0.0,0.0,,,,1007.1999999999987,
0.4474,0.1172,0.2130999999999999,0.2223,0.0,0.0,0.0,,,,1008.1299999999985,
0.4684,0.1533,0.2231,0.1552,0.0,0.0,0.0,,,,1062.311333333332,
0.4584,0.1501,0.1637,0.2278,0.0,0.0,0.0,,,,1022.4349999999986,
0.4488,0.1469,0.1069,0.2974,0.0,0.0,0.0,,,,1024.5549999999985,
0.4396439643964396,0.1439143914391439,0.0523052305230523,0.3641364136413641,0.0,0.0,0.0,,,,1010.6399999999985,
0.4915,0.1931,0.234,0.0814,0.0,0.0,0.0,,,,1034.8576666666652,
0.4746,0.0279999999999999,0.3559,0.1415,0.0,0.0,0.0,,,,954.3214285714274,
0.4653465346534653,0.0274027402740274,0.2991299129912991,0.208120812081208,0.0,0.0,0.0,,,,955.0214285714274,
0.4564,0.0269,0.2445,0.2722,0.0,0.0,0.0,,,,954.7814285714273,
0.4857485748574858,0.0572057205720572,0.3122312231223122,0.1448144814481448,0.0,0.0,0.0,,,,982.0199999999987,
0.476,0.0561,0.255,0.2128999999999999,0.0,0.0,0.0,,,,982.9699999999987,
0.4667,0.055,0.2,0.2783,0.0,0.0,0.0,,,,981.8399999999987,
0.4973497349734973,0.0879087908790879,0.2664266426642664,0.1483148314831483,0.0,0.0,0.0,,,,983.5899999999987,
0.4774,0.0843999999999999,0.1535,0.2847,0.0,0.0,0.0,,,,983.4699999999987,
0.5096,0.1201,0.2184,0.1519,0.0,0.0,0.0,,,,1006.7199999999987,
0.4989,0.1176,0.1604,0.2231,0.0,0.0,0.0,,,,1008.5999999999985,
0.4886999999999999,0.1152,0.1047,0.2914,0.0,0.0,0.0,,,,1008.7899999999986,
0.4789,0.1128999999999999,0.0513,0.3569,0.0,0.0,0.0,,,,1004.5599999999987,
0.5341,0.1574,0.2289,0.0796,0.0,0.0,0.0,,,,1058.9539999999988,
0.5112511251125113,0.1506150615061506,0.1095109510951095,0.2286228622862286,0.0,0.0,0.0,,,,1023.0449999999986,
0.5549445055494451,0.2224777522247775,0.0,0.2225777422257774,0.0,0.0,0.0,,,,1038.5249999999985,
0.6478,0.106,0.0944999999999999,0.1517,0.0,0.0,0.0,,,,999.8399999999987,
0.4871,0.015,0.3577,0.1402,0.0,0.0,0.0,,,,924.5614285714275,
0.5945,0.0379,0.2239,0.1437,0.0,0.0,0.0,,,,980.2699999999987,
0.5838,0.0791,0.1889999999999999,0.1481,0.0,0.0,0.0,,,,980.8399999999987,
0.4927,0.0302999999999999,0.3350999999999999,0.1419,0.0,0.0,0.0,,,,980.6799999999987,
0.4989,0.046,0.3114,0.1437,0.0,0.0,0.0,,,,982.0199999999987,
0.4784,0.0513,0.3262,0.1441,0.0,0.0,0.0,,,,982.0199999999987,
0.622,0.1189,0.1061999999999999,0.1528999999999999,0.0,0.0,0.0,,,,1007.6299999999987,
0.5737,0.1054,0.17,0.1509,0.0,0.0,0.0,,,,995.3799999999987,
0.5909409059094091,0.1454854514548545,0.1080891910808919,0.1554844515548445,0.0,0.0,0.0,,,,1014.4013333333319,
0.5721,0.1522,0.1197,0.156,0.0,0.0,0.0,,,,1030.745666666665,
0.4904,0.1651999999999999,0.1877,0.1567,0.0,0.0,0.0,,,,1044.5139999999988,
0.498,0.1866,0.1563,0.1591,0.0,0.0,0.0,,,,1039.1939999999986,
0.4525,0.1067,0.2909,0.1499,0.0,0.0,0.0,,,,997.8899999999987,
0.4625999999999999,0.1363,0.2478,0.1533,0.0,0.0,0.0,,,,1009.4499999999987,
0.4686,0.0250999999999999,0.3652,0.1411,0.0,0.0,0.0,,,,954.3214285714274,
0.4246999999999999,0.025,0.4096,0.1407,0.0,0.0,0.0,,,,954.3214285714274,
0.4336,0.0511,0.3717,0.1436,0.0,0.0,0.0,,,,982.0199999999987,
0.4429,0.0783,0.3321,0.1467,0.0,0.0,0.0,,,,982.2299999999987,
0.4357999999999999,0.0981,0.3173,0.1488,0.0,0.0,0.0,,,,987.9199999999987,
0.385038503850385,0.0378037803780378,0.4354435443544354,0.1417141714171417,0.0,0.0,0.0,,,,982.0199999999987,
0.3973397339733973,0.078007800780078,0.3784378437843784,0.1462146214621462,0.0,0.0,0.0,,,,982.2299999999987,
0.406,0.1063,0.3383,0.1494,0.0,0.0,0.0,,,,997.8899999999987,
0.3777,0.0628,0.4150999999999999,0.1444,0.0,0.0,0.0,,,,982.0199999999987,
0.3653634636536346,0.0717928207179282,0.4175582441755824,0.1452854714528547,0.0,0.0,0.0,,,,981.9899999999986,
0.3520647935206479,0.0777922207779222,0.4243575642435756,0.1457854214578542,0.0,0.0,0.0,,,,982.2299999999987,
0.3596999999999999,0.106,0.3853999999999999,0.1489,0.0,0.0,0.0,,,,997.8899999999987,
0.3367,0.1058,0.4088,0.1487,0.0,0.0,0.0,,,,995.8499999999987,
0.270972902709729,0.1197880211978802,0.4596540345965403,0.1495850414958504,0.0,0.0,0.0,,,,1007.1099999999986,
0.5367536753675368,0.2017201720172017,0.1004100410041004,0.1611161116111611,0.0,0.0,0.0,,,,1040.9046666666652,
0.5196999999999999,0.2164,0.1013,0.1626,0.0,0.0,0.0,,,,1042.7446666666654,
0.5281,0.2394,0.0673,0.1651999999999999,0.0,0.0,0.0,,,,1039.0349999999985,
0.4213,0.1172,0.3107,0.1508,0.0,0.0,0.0,,,,1007.5399999999987,
0.4104,0.1209,0.3176,0.1510999999999999,0.0,0.0,0.0,,,,1007.1999999999987,
0.415,0.1359,0.2964,0.1527,0.0,0.0,0.0,,,,1009.4399999999987,
0.3677,0.1354,0.3447,0.1522,0.0,0.0,0.0,,,,1009.3599999999986,
0.376,0.1662,0.3021,0.1557,0.0,0.0,0.0,,,,1043.6839999999988,
0.3206320632063206,0.135013501350135,0.3926392639263926,0.1517151715171517,0.0,0.0,0.0,,,,1009.3599999999986,
0.3279,0.1656,0.3513,0.1552,0.0,0.0,0.0,,,,1044.1539999999989,
0.3354664533546645,0.1976802319768023,0.3080691930806919,0.1587841215878412,0.0,0.0,0.0,,,,1035.1506666666653,
0.2800719928007199,0.1650834916508349,0.4001599840015998,0.1546845315468453,0.0,0.0,0.0,,,,1044.1539999999989,
0.240975902409759,0.141985801419858,0.4652534746525348,0.1517848215178482,0.0,0.0,0.0,,,,1015.5513333333319,
0.2326232623262326,0.1645164516451645,0.4487448744874487,0.1541154115411541,0.0,0.0,0.0,,,,1044.1539999999989,
0.1876,0.1796,0.4774,0.1553999999999999,0.0,0.0,0.0,,,,1012.1339999999988,
0.4764,0.2688,0.0868999999999999,0.1679,0.0,0.0,0.0,,,,1038.0949999999984,
0.3810618938106189,0.024997500249975,0.4536546345365463,0.1402859714028597,0.0,0.0,0.0,,,,954.3214285714274,
0.3447,0.0508,0.4617,0.1427999999999999,0.0,0.0,0.0,,,,982.0199999999987,
0.3071,0.0776,0.47,0.1452999999999999,0.0,0.0,0.0,,,,982.2299999999987,
0.3104,0.0914,0.4513,0.1469,0.0,0.0,0.0,,,,983.6799999999987,
0.3377,0.0249,0.4975,0.1399,0.0,0.0,0.0,,,,954.3214285714274,
0.3227,0.0507,0.4841,0.1425,0.0,0.0,0.0,,,,982.0199999999987,
0.2846999999999999,0.0774,0.4927999999999999,0.1450999999999999,0.0,0.0,0.0,,,,982.2299999999987,
0.268,0.1053,0.4787,0.148,0.0,0.0,0.0,,,,994.3499999999987,
0.2275,0.1341,0.4876,0.1508,0.0,0.0,0.0,,,,1009.1999999999987,
0.2176,0.1554,0.474,0.153,0.0,0.0,0.0,,,,1062.781333333332,
0.6606000000000001,0.1324,0.0523,0.1547,0.0,0.0,0.0,,,,1011.1399999999985,
0.6435,0.119,0.0843999999999999,0.1531,0.0,0.0,0.0,,,,1009.5999999999985,
0.6455000000000001,0.146,0.0524,0.1561,0.0,0.0,0.0,,,,1024.784666666665,
