SiO2,Al2O3,CaO,MgO,SrO,B2O3,Sb2O3,YoungModulus,Density293K,CTEbelowTg,Tstrain,Tsoft
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
0.667,0.17059999999999997,0.0843,0.0781,0.0,0.0,0.0,,2.5220000743865967,,,
0.45,0.1,0.3,0.15,0.0,0.0,0.0,,,6.1e-06,,
0.45,0.05,0.25,0.25,0.0,0.0,0.0,,,6.5999999999999995e-06,,
0.5,0.1,0.2,0.2,0.0,0.0,0.0,,,5.4e-06,,
0.625,0.375,0.0,0.0,0.0,0.0,0.0,,2.5899999141693115,,,
0.3,0.0,0.25,0.25,0.0,0.2,0.0,,,7.79000015258789e-06,,
0.3,0.0,0.15,0.35,0.0,0.2,0.0,,,7.83000030517578e-06,,
0.15,0.0,0.3,0.35,0.0,0.2,0.0,,,9.55e-06,,
0.4,0.0,0.1,0.0,0.3,0.2,0.0,,,8.04000015258789e-06,,
0.31,0.0,0.44799999999999995,0.17300000000000001,0.0,0.069,0.0,,,1.0330000305175779e-05,,
0.3,0.0,0.0,0.2,0.3,0.2,0.0,,,9.080000305175779e-06,,
0.4,0.0,0.0,0.1,0.3,0.2,0.0,,,8.04000015258789e-06,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
0.54,0.0,0.46,0.0,0.0,0.0,0.0,,,,,
0.95,0.05,0.0,0.0,0.0,0.0,0.0,,2.1410000324249268,,,
0.95,0.0,0.0,0.0,0.0,0.05,0.0,,2.1710000038146973,,,
0.92,0.03,0.0,0.0,0.0,0.05,0.0,,2.194999933242798,,,
0.88,0.07,0.0,0.0,0.0,0.05,0.0,,2.246999979019165,,,
0.86,0.09,0.0,0.0,0.0,0.05,0.0,,2.1710000038146973,,,
0.556,0.222,0.0,0.222,0.0,0.0,0.0,101.0,2.625,3.55e-06,,
0.579,0.18600000000000003,0.0,0.235,0.0,0.0,0.0,,2.615999937057495,,,
0.595,0.21100000000000002,0.0,0.19399999999999998,0.0,0.0,0.0,,2.6679999828338623,,,
0.5379999999999999,0.127,0.0,0.335,0.0,0.0,0.0,,2.4560000896453857,,,
0.724,0.12199999999999997,0.0,0.15399999999999997,0.0,0.0,0.0,,2.618000030517578,,,
0.5765,0.08990000000000001,0.17920000000000003,0.06269999999999999,0.0,0.0917,0.0,,,,,
0.40474047404740476,0.11921192119211922,0.32523252325232527,0.15081508150815082,0.0,0.0,0.0,,,,,
0.39630000000000004,0.1168,0.26539999999999997,0.22149999999999997,0.0,0.0,0.0,,,,,
0.424,0.1562,0.3408,0.079,0.0,0.0,0.0,,,,,
0.41479999999999995,0.1528,0.2778,0.15460000000000002,0.0,0.0,0.0,,,,,
0.44530000000000003,0.1968,0.3579,0.0,0.0,0.0,0.0,,,,,
0.43520000000000003,0.1923,0.2914,0.08109999999999999,0.0,0.0,0.0,,,,,
0.42550000000000004,0.18800000000000003,0.22790000000000002,0.15860000000000002,0.0,0.0,0.0,,,,,
0.4121,0.0911,0.4968,0.0,0.0,0.0,0.0,,,,,
0.4034000000000001,0.08910000000000001,0.4323,0.0752,0.0,0.0,0.0,,,,,
0.3951,0.0873,0.3704,0.1472,0.0,0.0,0.0,,,,,
0.42264226422642265,0.12451245124512451,0.4528452845284529,0.0,0.0,0.0,0.0,,,,,
0.4135413541354136,0.12181218121812182,0.3876387638763876,0.07700770077007701,0.0,0.0,0.0,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.203000068664551,,,
0.5,0.0,0.5,0.0,0.0,0.0,0.0,,2.9040000438690186,,,
0.5,0.25,0.25,0.0,0.0,0.0,0.0,,2.700000047683716,,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.20199990272522,1.202000045776367e-06,,
